name	link	position	shoots	years_active
Brandon Tanev	https://www.hockey-reference.com/players/t/tanevbr01.html	LW	Left	2016-2024
Chris Tanev	https://www.hockey-reference.com/players/t/tanevch01.html	D	Right	2011-2024
Vladimir Tarasenko	https://www.hockey-reference.com/players/t/tarasvl01.html	RW	Left	2013-2024
Daniil Tarasov	https://www.hockey-reference.com/players/t/tarasda02.html	G	Not Found	2022-2024
TomÃ¡Å¡ Tatar	https://www.hockey-reference.com/players/t/tatarto01.html	LW	Left	2011-2024
John Tavares	https://www.hockey-reference.com/players/t/tavarjo01.html	C	Left	2010-2024
Teuvo TerÃ¤vÃ¤inen	https://www.hockey-reference.com/players/t/teravte01.html	F	Left	2014-2024
Troy Terry	https://www.hockey-reference.com/players/t/terrytr01.html	C	Right	2018-2024
Alexandre Texier	https://www.hockey-reference.com/players/t/texieal01.html	C	Left	2019-2024
Shea Theodore	https://www.hockey-reference.com/players/t/theodsh01.html	D	Left	2016-2024
Akil Thomas	https://www.hockey-reference.com/players/t/thomaak01.html	C	Right	2024
Robert Thomas	https://www.hockey-reference.com/players/t/thomaro01.html	C	Right	2019-2024
Jack Thompson	https://www.hockey-reference.com/players/t/thompja01.html	D	Right	2024
Logan Thompson	https://www.hockey-reference.com/players/t/thomplo01.html	G	Not Found	2021-2024
Tage Thompson	https://www.hockey-reference.com/players/t/thompta01.html	C	Right	2018-2024
Henry Thrun	https://www.hockey-reference.com/players/t/thrunhe01.html	D	Left	2023-2024
Chris Tierney	https://www.hockey-reference.com/players/t/tiernch01.html	C	Left	2015-2024
Conor Timmins	https://www.hockey-reference.com/players/t/timmico01.html	D	Right	2020-2024
Jarred Tinordi	https://www.hockey-reference.com/players/t/tinorja01.html	D	Left	2013-2024
Owen Tippett	https://www.hockey-reference.com/players/t/tippeow01.html	RW	Right	2018-2024
Brady Tkachuk	https://www.hockey-reference.com/players/t/tkachbr01.html	LW	Left	2019-2024
Matthew Tkachuk	https://www.hockey-reference.com/players/t/tkachma01.html	LW	Left	2017-2024
Devon Toews	https://www.hockey-reference.com/players/t/toewsde01.html	D	Left	2019-2024
Tyler Toffoli	https://www.hockey-reference.com/players/t/toffoty01.html	C	Right	2013-2024
Eeli Tolvanen	https://www.hockey-reference.com/players/t/tolvaee01.html	RW	Left	2018-2024
Philip Tomasino	https://www.hockey-reference.com/players/t/tomasph01.html	C	Right	2022-2024
Matt Tomkins	https://www.hockey-reference.com/players/t/tomkima01.html	G	Not Found	2024
Dominic Toninato	https://www.hockey-reference.com/players/t/tonindo01.html	C	Left	2018-2024
Alexey Toropchenko	https://www.hockey-reference.com/players/t/toropal01.html	RW	Left	2022-2024
Yakov Trenin	https://www.hockey-reference.com/players/t/treniya01.html	C	Left	2020-2024
Vincent Trocheck	https://www.hockey-reference.com/players/t/trochvi01.html	C	Right	2014-2024
Jacob Trouba	https://www.hockey-reference.com/players/t/troubja01.html	D	Right	2014-2024
Alex Tuch	https://www.hockey-reference.com/players/t/tuchal01.html	RW	Right	2017-2024
Tyler Tucker	https://www.hockey-reference.com/players/t/tuckety01.html	D	Left	2023-2024
Riley Tufte	https://www.hockey-reference.com/players/t/tufteri01.html	LW	Left	2022-2024
Alex Turcotte	https://www.hockey-reference.com/players/t/turcoal02.html	C	Left	2022-2024
Linus Ullmark	https://www.hockey-reference.com/players/u/ullmali01.html	G	Not Found	2016-2024
Urho Vaakanainen	https://www.hockey-reference.com/players/v/vaakaur01.html	D	Left	2019-2024
Juuso VÃ¤limÃ¤ki	https://www.hockey-reference.com/players/v/valimju01.html	D	Left	2019-2024
James van Riemsdyk	https://www.hockey-reference.com/players/v/vanrija01.html	LW	Left	2010-2024
Trevor van Riemsdyk	https://www.hockey-reference.com/players/v/vanritr01.html	D	Right	2015-2024
VÃ­tek VanÄÄek	https://www.hockey-reference.com/players/v/vanecvi01.html	G	Not Found	2021-2024
Semyon Varlamov	https://www.hockey-reference.com/players/v/varlasi01.html	G	Not Found	2009-2024
Andrei Vasilevskiy	https://www.hockey-reference.com/players/v/vasilan02.html	G	Not Found	2015-2024
Frank Vatrano	https://www.hockey-reference.com/players/v/vatrafr01.html	LW	Left	2016-2024
Karel Vejmelka	https://www.hockey-reference.com/players/v/vejmeka01.html	G	Not Found	2022-2024
Joe Veleno	https://www.hockey-reference.com/players/v/velenjo01.html	C	Left	2021-2024
Carter Verhaeghe	https://www.hockey-reference.com/players/v/verhaca01.html	C	Left	2020-2024
Jimmy Vesey	https://www.hockey-reference.com/players/v/veseyji02.html	LW	Left	2017-2024
Gabriel Vilardi	https://www.hockey-reference.com/players/v/vilarga01.html	C	Right	2020-2024
Matt Villalta	https://www.hockey-reference.com/players/v/villama01.html	G	Not Found	2024
Daniel VladaÅ	https://www.hockey-reference.com/players/v/vladada01.html	G	Not Found	2021-2024
Alex Vlasic	https://www.hockey-reference.com/players/v/vlasial01.html	D	Left	2022-2024
Marc-Ãdouard Vlasic	https://www.hockey-reference.com/players/v/vlasima01.html	D	Left	2007-2024
Dmitri Voronkov	https://www.hockey-reference.com/players/v/vorondi01.html	LW	Left	2024
Jakub VrÃ¡na	https://www.hockey-reference.com/players/v/vranaja01.html	LW	Left	2017-2024
Chris Wagner	https://www.hockey-reference.com/players/w/wagnech01.html	C	Right	2015-2024
Oliver Wahlstrom	https://www.hockey-reference.com/players/w/wahlsol01.html	RW	Right	2020-2024
Nathan Walker	https://www.hockey-reference.com/players/w/walkena01.html	C	Left	2018-2024
Samuel Walker	https://www.hockey-reference.com/players/w/walkesa01.html	C	Right	2023-2024
Sean Walker	https://www.hockey-reference.com/players/w/walkese01.html	D	Right	2019-2024
Jesper Wallstedt	https://www.hockey-reference.com/players/w/wallsje01.html	G	Not Found	2024
Jake Walman	https://www.hockey-reference.com/players/w/walmaja01.html	D	Left	2020-2024
Austin Watson	https://www.hockey-reference.com/players/w/watsoau01.html	LW	Right	2013-2024
Scott Wedgewood	https://www.hockey-reference.com/players/w/wedgesc01.html	G	Not Found	2016-2024
MacKenzie Weegar	https://www.hockey-reference.com/players/w/weegama01.html	D	Right	2017-2024
Alexander Wennberg	https://www.hockey-reference.com/players/w/wennbal01.html	C	Left	2015-2024
Zach Werenski	https://www.hockey-reference.com/players/w/werenza01.html	D	Left	2017-2024
Blake Wheeler	https://www.hockey-reference.com/players/w/wheelbl01.html	RW	Right	2009-2024
Colin White	https://www.hockey-reference.com/players/w/whiteco02.html	C	Right	2017-2024
Zach Whitecloud	https://www.hockey-reference.com/players/w/whiteza01.html	D	Right	2018-2024
Maxwell Willman	https://www.hockey-reference.com/players/w/willmma01.html	C	Left	2022-2024
Tom Wilson	https://www.hockey-reference.com/players/w/wilsoto01.html	RW	Right	2014-2024
Ryan Winterton	https://www.hockey-reference.com/players/w/wintery01.html	C	Right	2024
Dustin Wolf	https://www.hockey-reference.com/players/w/wolfdu01.html	G	Not Found	2023-2024
Joseph Woll	https://www.hockey-reference.com/players/w/wolljo01.html	G	Not Found	2022-2024
Miles Wood	https://www.hockey-reference.com/players/w/woodmi01.html	LW	Left	2016-2024
Parker Wotherspoon	https://www.hockey-reference.com/players/w/wothepa01.html	D	Left	2023-2024
Shane Wright	https://www.hockey-reference.com/players/w/wrighsh01.html	C	Right	2023-2024
Kailer Yamamoto	https://www.hockey-reference.com/players/y/yamamka01.html	RW	Right	2018-2024
Jesse YlÃ¶nen	https://www.hockey-reference.com/players/y/yloneje01.html	RW	Right	2021-2024
Cameron York	https://www.hockey-reference.com/players/y/yorkca01.html	D	Left	2021-2024
